step,time,loss,acc
4600,2019-10-26T18:42:14.821346,1.507931e-01,9.531250e-01
4650,2019-10-26T18:43:32.492439,1.493223e-01,9.453125e-01
4700,2019-10-26T18:44:49.966732,7.287717e-02,9.531250e-01
4750,2019-10-26T18:46:07.787399,1.037242e-01,9.531250e-01
4800,2019-10-26T18:47:24.783913,5.487264e-02,9.765625e-01
4850,2019-10-26T18:48:41.444051,8.867279e-02,9.765625e-01
4900,2019-10-26T18:49:58.441374,5.656137e-02,9.921875e-01
4950,2019-10-26T18:51:15.145972,1.480789e-01,9.453125e-01
5000,2019-10-26T18:52:31.413192,1.200185e-01,9.531250e-01
5050,2019-10-26T18:53:49.241059,8.502990e-02,9.765625e-01
5100,2019-10-26T18:55:06.114397,1.246528e-01,9.453125e-01
5150,2019-10-26T18:56:23.276809,1.499041e-01,9.609375e-01
5200,2019-10-26T18:57:40.150386,1.291991e-01,9.453125e-01
5250,2019-10-26T18:58:57.455469,1.214168e-01,9.687500e-01
5300,2019-10-26T19:00:14.854693,1.016075e-01,9.609375e-01
5350,2019-10-26T19:01:32.249299,9.275785e-02,9.609375e-01
5400,2019-10-26T19:02:49.224909,1.159908e-01,9.531250e-01
5450,2019-10-26T19:04:06.507807,6.769460e-02,9.765625e-01
5500,2019-10-26T19:05:23.628754,3.945576e-02,9.843750e-01
5550,2019-10-26T19:06:41.639600,1.134092e-01,9.609375e-01
5600,2019-10-26T19:07:58.978386,7.844619e-02,9.609375e-01
5650,2019-10-26T19:09:16.035402,1.146019e-01,9.765625e-01
5700,2019-10-26T19:10:33.640800,9.541270e-02,9.531250e-01
5750,2019-10-26T19:11:51.712747,1.229427e-01,9.453125e-01
5800,2019-10-26T19:13:09.365142,6.925376e-02,9.843750e-01
5850,2019-10-26T19:14:26.591109,8.551058e-02,9.687500e-01
5900,2019-10-26T19:15:43.913982,3.681231e-02,9.843750e-01
5950,2019-10-26T19:17:01.018031,6.566698e-02,9.843750e-01
6000,2019-10-26T19:18:17.274070,3.992119e-02,9.921875e-01
6050,2019-10-26T19:19:34.920193,6.978527e-02,9.765625e-01
6100,2019-10-26T19:20:51.458559,9.953065e-02,9.609375e-01
6150,2019-10-26T19:22:08.280573,1.161936e-01,9.687500e-01
6200,2019-10-26T19:23:25.206059,1.272469e-01,9.453125e-01
6250,2019-10-26T19:24:42.307542,7.480038e-02,9.765625e-01
6300,2019-10-26T19:25:59.229244,6.853747e-02,9.765625e-01
6350,2019-10-26T19:27:15.760227,4.654828e-02,9.765625e-01
6400,2019-10-26T19:28:32.007347,7.410541e-02,9.687500e-01
6450,2019-10-26T19:29:48.319745,1.305206e-01,9.296875e-01
6500,2019-10-26T19:31:04.477470,9.420579e-02,9.609375e-01
6550,2019-10-26T19:32:22.245079,6.916732e-02,9.687500e-01
6600,2019-10-26T19:33:38.712732,1.059246e-01,9.531250e-01
6650,2019-10-26T19:34:54.854954,5.985453e-02,9.687500e-01
6700,2019-10-26T19:36:11.324130,8.465458e-02,9.609375e-01
6750,2019-10-26T19:37:27.600413,7.878760e-02,9.687500e-01
6800,2019-10-26T19:38:43.700008,5.998822e-02,9.765625e-01
6850,2019-10-26T19:40:00.207529,5.859236e-02,9.687500e-01
6900,2019-10-26T19:41:16.887854,6.534249e-02,9.765625e-01
6950,2019-10-26T19:42:33.178958,6.664122e-02,9.687500e-01
7000,2019-10-26T19:43:49.513924,7.370125e-02,9.609375e-01
7050,2019-10-26T19:45:06.826684,6.796861e-02,9.843750e-01
7100,2019-10-26T19:46:23.266706,5.055849e-02,9.843750e-01
7150,2019-10-26T19:47:39.819409,1.238697e-01,9.765625e-01
7200,2019-10-26T19:48:56.067273,1.006382e-01,9.765625e-01
7250,2019-10-26T19:50:12.486068,6.647047e-02,9.687500e-01
7300,2019-10-26T19:51:28.891825,7.026809e-02,9.687500e-01
7350,2019-10-26T19:52:45.199615,7.279934e-02,9.687500e-01
7400,2019-10-26T19:54:01.448852,8.592264e-02,9.687500e-01
7450,2019-10-26T19:55:17.731822,5.659097e-02,9.843750e-01
7500,2019-10-26T19:56:34.041615,5.449724e-02,9.843750e-01
7550,2019-10-26T19:57:51.522216,6.623412e-02,9.765625e-01
7600,2019-10-26T19:59:07.595754,1.345614e-01,9.687500e-01
7650,2019-10-26T20:00:24.044197,5.836532e-02,9.687500e-01
7700,2019-10-26T20:01:40.477564,1.008474e-01,9.609375e-01
7750,2019-10-26T20:02:56.645808,1.043019e-01,9.687500e-01
7800,2019-10-26T20:04:13.273185,6.438226e-02,9.765625e-01
7850,2019-10-26T20:05:30.089744,4.362612e-02,9.921875e-01
7900,2019-10-26T20:06:46.500616,9.149314e-02,9.687500e-01
7950,2019-10-26T20:08:02.991537,8.197216e-02,9.609375e-01
8000,2019-10-26T20:09:19.573748,6.467248e-02,9.765625e-01
8050,2019-10-26T20:10:37.015587,9.269028e-02,9.765625e-01
8100,2019-10-26T20:11:53.749746,1.012758e-01,9.609375e-01
8150,2019-10-26T20:13:10.105758,6.399673e-02,9.765625e-01
8200,2019-10-26T20:14:26.697721,1.572948e-01,9.140625e-01
8250,2019-10-26T20:15:43.089907,4.839408e-02,9.843750e-01
8300,2019-10-26T20:16:59.404121,3.156034e-02,9.843750e-01
8350,2019-10-26T20:18:15.921816,1.211025e-01,9.609375e-01
8400,2019-10-26T20:19:32.442906,5.101614e-02,9.765625e-01
8450,2019-10-26T20:20:48.862852,7.414199e-02,9.687500e-01
8500,2019-10-26T20:22:04.966872,7.103849e-02,9.765625e-01
8550,2019-10-26T20:23:22.369729,7.060137e-02,9.765625e-01
8600,2019-10-26T20:24:38.873362,2.303149e-02,9.921875e-01
8650,2019-10-26T20:25:55.349474,4.009853e-02,9.921875e-01
8700,2019-10-26T20:27:11.853010,5.769086e-02,9.843750e-01
8750,2019-10-26T20:28:28.201810,5.945483e-02,9.687500e-01
8800,2019-10-26T20:29:44.944815,1.106491e-01,9.453125e-01
8850,2019-10-26T20:31:01.210079,4.323624e-02,9.843750e-01
8900,2019-10-26T20:32:17.503118,3.240965e-02,9.921875e-01
8950,2019-10-26T20:33:33.847881,2.701020e-02,9.921875e-01
9000,2019-10-26T20:34:50.309436,6.876580e-02,9.765625e-01
9050,2019-10-26T20:36:07.468175,7.391904e-02,9.687500e-01
9100,2019-10-26T20:37:23.573336,6.728992e-02,9.687500e-01
9150,2019-10-26T20:38:39.983565,3.990974e-02,9.843750e-01
9200,2019-10-26T20:39:56.940545,2.041889e-01,9.531250e-01
9250,2019-10-26T20:41:13.728666,7.674792e-02,9.765625e-01
9300,2019-10-26T20:42:30.270428,8.509929e-02,9.609375e-01
9350,2019-10-26T20:43:46.846942,3.542082e-02,9.765625e-01
9400,2019-10-26T20:45:03.485155,5.757684e-02,9.765625e-01
9450,2019-10-26T20:46:19.860366,3.932662e-02,9.843750e-01
9500,2019-10-26T20:47:36.345739,7.911074e-02,9.765625e-01
9550,2019-10-26T20:48:53.712264,4.081654e-02,9.687500e-01
9600,2019-10-26T20:50:10.296208,3.612724e-02,9.921875e-01
9650,2019-10-26T20:51:26.426000,1.033029e-01,9.609375e-01
